star_age  Teff  log_g  feh  Mag_bol  Flux_bol  Interp_rad  B  I  J  M  R  U  V
   3.120451E+00   4.637683E+03   1.586609E+00  -1.274053E+00    7.947386E+00   6.622862E-04   7.731971E-02  -2.168502E+00  -4.350391E+00  -4.972076E+00  -5.659248E+00  -3.840203E+00  -1.543608E+00  -3.171842E+00
   3.698575E+00   4.637733E+03   1.586720E+00  -1.274053E+00    7.947616E+00   6.621456E-04   7.732466E-02  -2.168329E+00  -4.350159E+00  -4.971830E+00  -5.658989E+00  -3.839982E+00  -1.543505E+00  -3.171637E+00
   4.392324E+00   4.637794E+03   1.586853E+00  -1.274053E+00    7.947892E+00   6.619774E-04   7.733059E-02  -2.168123E+00  -4.349881E+00  -4.971534E+00  -5.658678E+00  -3.839717E+00  -1.543383E+00  -3.171391E+00
   5.224823E+00   4.637866E+03   1.587012E+00  -1.274053E+00    7.948223E+00   6.617758E-04   7.733771E-02  -2.167875E+00  -4.349548E+00  -4.971181E+00  -5.658306E+00  -3.839399E+00  -1.543236E+00  -3.171097E+00
   6.223821E+00   4.637954E+03   1.587204E+00  -1.274053E+00    7.948619E+00   6.615341E-04   7.734627E-02  -2.167578E+00  -4.349148E+00  -4.970756E+00  -5.657860E+00  -3.839018E+00  -1.543060E+00  -3.170744E+00
   7.422619E+00   4.638058E+03   1.587433E+00  -1.274053E+00    7.949095E+00   6.612445E-04   7.735656E-02  -2.167222E+00  -4.348669E+00  -4.970247E+00  -5.657325E+00  -3.838562E+00  -1.542849E+00  -3.170320E+00
   8.861176E+00   4.638184E+03   1.587708E+00  -1.274053E+00    7.949665E+00   6.608973E-04   7.736892E-02  -2.166795E+00  -4.348094E+00  -4.969637E+00  -5.656683E+00  -3.838014E+00  -1.542596E+00  -3.169812E+00
   1.058745E+01   4.638334E+03   1.588038E+00  -1.274053E+00    7.950349E+00   6.604814E-04   7.738380E-02  -2.166283E+00  -4.347405E+00  -4.968906E+00  -5.655914E+00  -3.837358E+00  -1.542293E+00  -3.169204E+00
   1.265897E+01   4.638514E+03   1.588433E+00  -1.274053E+00    7.951168E+00   6.599832E-04   7.740170E-02  -2.165669E+00  -4.346579E+00  -4.968029E+00  -5.654992E+00  -3.836571E+00  -1.541929E+00  -3.168474E+00
   1.514480E+01   4.638730E+03   1.588906E+00  -1.274053E+00    7.952150E+00   6.593867E-04   7.742325E-02  -2.164934E+00  -4.345589E+00  -4.966978E+00  -5.653887E+00  -3.835628E+00  -1.541492E+00  -3.167600E+00
   1.812779E+01   4.638989E+03   1.589474E+00  -1.274053E+00    7.953326E+00   6.586729E-04   7.744921E-02  -2.164052E+00  -4.344404E+00  -4.965720E+00  -5.652563E+00  -3.834498E+00  -1.540970E+00  -3.166552E+00
   2.170738E+01   4.639298E+03   1.590153E+00  -1.274053E+00    7.954734E+00   6.578190E-04   7.748051E-02  -2.162997E+00  -4.342984E+00  -4.964213E+00  -5.650978E+00  -3.833145E+00  -1.540343E+00  -3.165298E+00
   2.600289E+01   4.639669E+03   1.590966E+00  -1.274053E+00    7.956420E+00   6.567982E-04   7.751827E-02  -2.161733E+00  -4.341284E+00  -4.962408E+00  -5.649081E+00  -3.831525E+00  -1.539593E+00  -3.163796E+00
   3.115750E+01   4.640113E+03   1.591939E+00  -1.274053E+00    7.958437E+00   6.555790E-04   7.756388E-02  -2.160221E+00  -4.339250E+00  -4.960250E+00  -5.646810E+00  -3.829587E+00  -1.538695E+00  -3.161999E+00
   3.734303E+01   4.640643E+03   1.593102E+00  -1.274053E+00    7.960850E+00   6.541240E-04   7.761902E-02  -2.158413E+00  -4.336818E+00  -4.957668E+00  -5.644095E+00  -3.827269E+00  -1.537620E+00  -3.159849E+00
   4.476568E+01   4.641277E+03   1.594493E+00  -1.274053E+00    7.963733E+00   6.523896E-04   7.768578E-02  -2.156251E+00  -4.333912E+00  -4.954583E+00  -5.640851E+00  -3.824499E+00  -1.536334E+00  -3.157281E+00
   5.367284E+01   4.642034E+03   1.596152E+00  -1.274053E+00    7.967175E+00   6.503244E-04   7.776672E-02  -2.153669E+00  -4.330441E+00  -4.950899E+00  -5.636977E+00  -3.821191E+00  -1.534797E+00  -3.154213E+00
   6.436145E+01   4.642936E+03   1.598132E+00  -1.274053E+00    7.971281E+00   6.478694E-04   7.786501E-02  -2.150588E+00  -4.326300E+00  -4.946504E+00  -5.632356E+00  -3.817245E+00  -1.532959E+00  -3.150553E+00
   7.718777E+01   4.644010E+03   1.600491E+00  -1.274053E+00    7.976175E+00   6.449557E-04   7.798459E-02  -2.146913E+00  -4.321365E+00  -4.941267E+00  -5.626850E+00  -3.812541E+00  -1.530763E+00  -3.146188E+00
   9.257936E+01   4.645285E+03   1.603298E+00  -1.274053E+00    7.982001E+00   6.415044E-04   7.813035E-02  -2.142533E+00  -4.315489E+00  -4.935034E+00  -5.620298E+00  -3.806940E+00  -1.528138E+00  -3.140991E+00
   1.110493E+02   4.646794E+03   1.606632E+00  -1.274053E+00    7.988926E+00   6.374259E-04   7.830839E-02  -2.137319E+00  -4.308505E+00  -4.927626E+00  -5.612512E+00  -3.800279E+00  -1.524999E+00  -3.134809E+00
   1.332131E+02   4.648577E+03   1.610585E+00  -1.274053E+00    7.997144E+00   6.326195E-04   7.852630E-02  -2.131119E+00  -4.300215E+00  -4.918837E+00  -5.603278E+00  -3.792372E+00  -1.521247E+00  -3.127465E+00
   1.598098E+02   4.650657E+03   1.615261E+00  -1.274053E+00    8.006891E+00   6.269652E-04   7.879358E-02  -2.123726E+00  -4.290380E+00  -4.908420E+00  -5.592345E+00  -3.782984E+00  -1.516715E+00  -3.118735E+00
   1.917258E+02   4.653108E+03   1.620778E+00  -1.274053E+00    8.018396E+00   6.203570E-04   7.912201E-02  -2.114991E+00  -4.278772E+00  -4.896127E+00  -5.579443E+00  -3.771901E+00  -1.511341E+00  -3.108427E+00
   2.300250E+02   4.656812E+03   1.627273E+00  -1.274053E+00    8.031179E+00   6.130958E-04   7.952615E-02  -2.106248E+00  -4.265871E+00  -4.882188E+00  -5.564546E+00  -3.759782E+00  -1.507297E+00  -3.097432E+00
   2.759840E+02   4.660263E+03   1.634884E+00  -1.274053E+00    8.046991E+00   6.042316E-04   8.002456E-02  -2.094300E+00  -4.249908E+00  -4.865265E+00  -5.546767E+00  -3.744554E+00  -1.500006E+00  -3.083285E+00
   3.311349E+02   4.664281E+03   1.643769E+00  -1.274053E+00    8.065461E+00   5.940397E-04   8.063893E-02  -2.080316E+00  -4.231257E+00  -4.845499E+00  -5.526008E+00  -3.726758E+00  -1.491419E+00  -3.066745E+00
   3.973159E+02   4.668941E+03   1.654093E+00  -1.274053E+00    8.086935E+00   5.824061E-04   8.139583E-02  -2.064023E+00  -4.209565E+00  -4.822519E+00  -5.501880E+00  -3.706056E+00  -1.481348E+00  -3.047494E+00
   4.767331E+02   4.674313E+03   1.666025E+00  -1.274053E+00    8.111772E+00   5.692343E-04   8.232668E-02  -2.045134E+00  -4.184468E+00  -4.795942E+00  -5.473983E+00  -3.682096E+00  -1.469584E+00  -3.025201E+00
   5.720338E+02   4.680899E+03   1.679741E+00  -1.274053E+00    8.139947E+00   5.546526E-04   8.346822E-02  -2.024149E+00  -4.155981E+00  -4.765645E+00  -5.442056E+00  -3.654994E+00  -1.457093E+00  -3.000113E+00
   6.863945E+02   4.687883E+03   1.695395E+00  -1.274053E+00    8.172605E+00   5.382179E-04   8.486116E-02  -1.999144E+00  -4.122951E+00  -4.730708E+00  -5.405422E+00  -3.623433E+00  -1.441217E+00  -2.970702E+00
   8.236275E+02   4.696409E+03   1.713143E+00  -1.274053E+00    8.209078E+00   5.204378E-04   8.655045E-02  -1.971859E+00  -4.086030E+00  -4.691468E+00  -5.364091E+00  -3.588290E+00  -1.424729E+00  -2.938140E+00
   9.883070E+02   4.706092E+03   1.733104E+00  -1.274053E+00    8.250026E+00   5.011750E-04   8.858242E-02  -1.941253E+00  -4.044544E+00  -4.647365E+00  -5.317623E+00  -3.548813E+00  -1.406239E+00  -2.901572E+00
   1.185922E+03   4.715892E+03   1.755340E+00  -1.274053E+00    8.296570E+00   4.801446E-04   8.981835E-02  -1.905206E+00  -3.997373E+00  -4.597572E+00  -5.265491E+00  -3.503677E+00  -1.382708E+00  -2.859401E+00
