star_age  Teff  log_g  metallicity  Mag_bol  Flux_bol  Interp_rad  B  I  J  M  R  U  V
   4.849660E-04   3.908532E+03   7.783608E-01   0.000000E+00    6.669860E+00   2.148108E-03   4.437147E-02  -2.180577E+00  -5.585668E+00  -6.477326E+00  -7.364220E+00  -4.777620E+00   5.899605E-02  -3.733310E+00
   5.919592E-04   3.883130E+03   7.785328E-01   0.000000E+00    6.698557E+00   2.092075E-03   4.436468E-02  -2.098212E+00  -5.552214E+00  -6.456071E+00  -7.355252E+00  -4.718172E+00   1.445829E-01  -3.655934E+00
   7.203511E-04   3.858287E+03   7.787091E-01   0.000000E+00    6.726815E+00   2.038328E-03   4.431940E-02  -2.016130E+00  -5.518983E+00  -6.435288E+00  -7.346443E+00  -4.657777E+00   2.209948E-01  -3.577074E+00
   8.744213E-04   3.834702E+03   7.788831E-01   0.000000E+00    6.753832E+00   1.988232E-03   4.426088E-02  -1.936388E+00  -5.486809E+00  -6.415569E+00  -7.338034E+00  -4.598358E+00   2.888963E-01  -3.499133E+00
   1.059306E-03   3.813029E+03   7.790476E-01   0.000000E+00    6.778831E+00   1.942978E-03   4.421127E-02  -1.861124E+00  -5.456568E+00  -6.397470E+00  -7.330261E+00  -4.541969E+00   3.496475E-01  -3.424747E+00
   1.281167E-03   3.793843E+03   7.791957E-01   0.000000E+00    6.801106E+00   1.903521E-03   4.417093E-02  -1.792500E+00  -5.429143E+00  -6.381470E+00  -7.323338E+00  -4.490627E+00   4.043438E-01  -3.356587E+00
   1.547400E-03   3.777553E+03   7.793215E-01   0.000000E+00    6.820129E+00   1.870459E-03   4.413967E-02  -1.732438E+00  -5.405296E+00  -6.367909E+00  -7.317430E+00  -4.446000E+00   4.532529E-01  -3.296952E+00
   1.866880E-03   3.764397E+03   7.794208E-01   0.000000E+00    6.835565E+00   1.844056E-03   4.411692E-02  -1.682511E+00  -5.385616E+00  -6.356981E+00  -7.312640E+00  -4.409285E+00   4.956308E-01  -3.247580E+00
   2.250256E-03   3.754438E+03   7.794907E-01   0.000000E+00    6.847286E+00   1.824256E-03   4.410196E-02  -1.643749E+00  -5.370449E+00  -6.348733E+00  -7.309012E+00  -4.381105E+00   5.301142E-01  -3.209475E+00
   2.710307E-03   3.747590E+03   7.795299E-01   0.000000E+00    6.855345E+00   1.810765E-03   4.409405E-02  -1.616615E+00  -5.359895E+00  -6.343092E+00  -7.306531E+00  -4.361560E+00   5.551886E-01  -3.182937E+00
   3.262369E-03   3.743609E+03   7.795386E-01   0.000000E+00    6.859987E+00   1.803039E-03   4.409249E-02  -1.600870E+00  -5.353757E+00  -6.339862E+00  -7.305123E+00  -4.350187E+00   5.696683E-01  -3.167486E+00
   3.924842E-03   3.742162E+03   7.795178E-01   0.000000E+00    6.861613E+00   1.800341E-03   4.409676E-02  -1.595216E+00  -5.351580E+00  -6.338750E+00  -7.304670E+00  -4.346107E+00   5.748277E-01  -3.161925E+00
   4.719811E-03   3.742856E+03   7.794691E-01   0.000000E+00    6.860686E+00   1.801879E-03   4.410645E-02  -1.598070E+00  -5.352772E+00  -6.339429E+00  -7.305032E+00  -4.348218E+00   5.722415E-01  -3.164747E+00
